gloss,video_id,url
book,69241,http://aslbricks.org/New/ASL-Videos/book.mp4
book,07069,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4
book,07068,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4
book,07070,https://media.asldeafined.com/vocabulary/1466684225.687.mp4
book,07099,http://www.aslsearch.com/signs/videos/book.mp4
book,07074,https://www.signingsavvy.com/signs/mp4/14/14326.mp4
drink,69302,http://aslbricks.org/New/ASL-Videos/drink.mp4
drink,65539,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4
drink,17710,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4
drink,17733,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4
drink,65540,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4
drink,17734,http://www.aslsearch.com/signs/videos/drink.mp4
drink,17711,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4
drink,17712,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4
drink,17713,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4
drink,17709,https://media.spreadthesign.com/video/mp4/13/153289.mp4
drink,17720,https://www.signingsavvy.com/signs/mp4/14/14885.mp4
drink,17721,https://www.signingsavvy.com/signs/mp4/23/23388.mp4
drink,17722,https://www.signingsavvy.com/signs/mp4/23/23388.mp4
drink,17723,https://www.signingsavvy.com/signs/mp4/23/23389.mp4
drink,17724,https://www.signingsavvy.com/signs/mp4/7/7796.mp4
computer,12328,https://www.signingsavvy.com/signs/mp4/6/6326.mp4
computer,12312,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4
computer,12311,https://media.spreadthesign.com/video/mp4/13/51378.mp4
computer,12338,http://www.aslsearch.com/signs/videos/computer.mp4
computer,12313,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4
computer,12314,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4
computer,12315,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4
computer,12316,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4
computer,12317,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4
computer,12318,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4
computer,12319,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4
computer,12320,https://media.asldeafined.com/vocabulary/1466901185.5915.mp4
computer,12326,https://www.signingsavvy.com/signs/mp4/6/6011.mp4
computer,12327,https://www.signingsavvy.com/signs/mp4/6/6012.mp4
before,05728,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before%202-02xxXtC3G8c.mp4
before,05749,http://www.aslsearch.com/signs/videos/before3.mp4
before,05750,http://www.aslsearch.com/signs/videos/before.mp4
before,05729,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-kM8O_piLegw.mp4
before,05730,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-Se78WI3j-mI.mp4
before,65167,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BEFORE-37.mp4
before,05731,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4
before,05732,https://media.asldeafined.com/vocabulary/1466681314.2550.mp4
before,05733,https://media.asldeafined.com/vocabulary/1466681379.1244.mp4
before,05734,https://media.asldeafined.com/vocabulary/1468755772.9751.mp4
before,05727,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/before.mp4
before,05739,https://www.signingsavvy.com/signs/mp4/22/22829.mp4
before,05740,https://www.signingsavvy.com/signs/mp4/22/22831.mp4
before,05741,https://www.signingsavvy.com/signs/mp4/5/5971.mp4
before,05742,https://www.signingsavvy.com/signs/mp4/6/6164.mp4
before,05743,https://www.signingsavvy.com/signs/mp4/9/9194.mp4
chair,09848,https://media.spreadthesign.com/video/mp4/13/74909.mp4
chair,09869,http://www.aslsearch.com/signs/videos/chair.mp4
chair,09849,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/chair.mp4
chair,09850,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Chair-mVdtJjs-_20.mp4
chair,09851,https://media.asldeafined.com/vocabulary/1466729509.9229.mp4
chair,65328,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHAIR-378.mp4
chair,09854,https://www.signingsavvy.com/signs/mp4/7/7821.mp4
go,69345,http://aslbricks.org/New/ASL-Videos/go.mp4
go,24955,https://www.signingsavvy.com/signs/mp4/23/23400.mp4
go,24956,https://www.signingsavvy.com/signs/mp4/23/23401.mp4
go,24941,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/go.mp4
go,24960,https://www.signingsavvy.com/signs/mp4/23/23517.mp4
go,24961,https://www.signingsavvy.com/signs/mp4/23/23517.mp4
go,24962,https://www.signingsavvy.com/signs/mp4/23/23519.mp4
go,65824,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GO/GO-469.mp4
go,24973,http://www.aslsearch.com/signs/videos/go.mp4
go,24943,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20go-c3j44FTrL9c.mp4
go,24946,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20To%20Go-BeOwDK5YI0U.mp4
go,24947,https://media.asldeafined.com/vocabulary/1468549286.5649.mp4
go,24940,https://media.spreadthesign.com/video/mp4/13/58507.mp4
go,24952,https://www.signingsavvy.com/signs/mp4/22/22235.mp4
go,24954,https://www.signingsavvy.com/signs/mp4/23/23400.mp4
clothes,11310,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/clothes.mp4
clothes,11330,http://www.aslsearch.com/signs/videos/clothes.mp4
clothes,11311,https://media.asldeafined.com/vocabulary/1466899298.7370.mp4
clothes,11313,https://www.signingsavvy.com/signs/mp4/6/6566.mp4
clothes,11309,https://media.spreadthesign.com/video/mp4/13/399310.mp4
who,69534,http://aslbricks.org/New/ASL-Videos/who.mp4
who,63242,http://www.aslsearch.com/signs/videos/who.mp4
who,63226,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/who.mp4
who,63227,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who%202-P20hHY3qUEQ.mp4
who,63228,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-rehp_kwiS-I.mp4
who,63229,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-wmIY6Yo-vp8.mp4
who,63230,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-xchfz0eTaP8.mp4
who,63231,https://media.asldeafined.com/vocabulary/1468928348.68.mp4
who,66778,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-1430.mp4
who,63232,https://media.asldeafined.com/vocabulary/1539176590.1089.mp4
who,66779,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-2236.mp4
who,63225,https://media.spreadthesign.com/video/mp4/13/51811.mp4
who,63236,https://www.signingsavvy.com/signs/mp4/9/9019.mp4
who,63237,https://www.signingsavvy.com/signs/mp4/9/9020.mp4
candy,08929,http://www.aslsearch.com/signs/videos/candy.mp4
candy,08916,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/candy.mp4
candy,08917,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy%2C%20It%27s%20Nothing%202-dsVi-FR4eBg.mp4
candy,08918,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy%2C%20It%27s%20Nothing-YX3NQ7iEwiE.mp4
candy,08919,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy-v1iNoQ1DZ7c.mp4
candy,08920,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cute-Dl2ekdgVRTg.mp4
candy,08921,https://media.asldeafined.com/vocabulary/1471144833.8086.mp4
candy,65298,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CANDY_1-66.mp4
candy,08924,https://www.signingsavvy.com/signs/mp4/6/6123.mp4
candy,65299,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CANDY_1-67.mp4
candy,65300,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CANDY_2-1014.mp4
candy,08915,https://media.spreadthesign.com/video/mp4/13/51294.mp4
candy,08925,https://www.signingsavvy.com/signs/mp4/7/7906.mp4
cousin,65415,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CO/COUSIN-1171.mp4
cousin,13647,http://www.aslsearch.com/signs/videos/cousin3.mp4
cousin,13648,http://www.aslsearch.com/signs/videos/cousin.mp4
cousin,13631,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cousin-female.mp4
cousin,13632,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cousin-male.mp4
